digraph dag {
	0	 [kernel=potrf];
	1	 [kernel=trsm];
	0 -> 1	 [x=0,
		y=0];
	2	 [kernel=trsm];
	0 -> 2	 [x=0,
		y=0];
	3	 [kernel=trsm];
	0 -> 3	 [x=0,
		y=0];
	4	 [kernel=trsm];
	0 -> 4	 [x=0,
		y=0];
	5	 [kernel=trsm];
	0 -> 5	 [x=0,
		y=0];
	6	 [kernel=syrk];
	1 -> 6	 [x=0,
		y=1];
	8	 [kernel=gemm];
	1 -> 8	 [x=0,
		y=1];
	10	 [kernel=gemm];
	1 -> 10	 [x=0,
		y=1];
	13	 [kernel=gemm];
	1 -> 13	 [x=0,
		y=1];
	17	 [kernel=gemm];
	1 -> 17	 [x=0,
		y=1];
	7	 [kernel=syrk];
	2 -> 7	 [x=0,
		y=2];
	2 -> 8	 [x=0,
		y=2];
	11	 [kernel=gemm];
	2 -> 11	 [x=0,
		y=2];
	14	 [kernel=gemm];
	2 -> 14	 [x=0,
		y=2];
	18	 [kernel=gemm];
	2 -> 18	 [x=0,
		y=2];
	9	 [kernel=syrk];
	3 -> 9	 [x=0,
		y=3];
	3 -> 10	 [x=0,
		y=3];
	3 -> 11	 [x=0,
		y=3];
	15	 [kernel=gemm];
	3 -> 15	 [x=0,
		y=3];
	19	 [kernel=gemm];
	3 -> 19	 [x=0,
		y=3];
	12	 [kernel=syrk];
	4 -> 12	 [x=0,
		y=4];
	4 -> 13	 [x=0,
		y=4];
	4 -> 14	 [x=0,
		y=4];
	4 -> 15	 [x=0,
		y=4];
	20	 [kernel=gemm];
	4 -> 20	 [x=0,
		y=4];
	16	 [kernel=syrk];
	5 -> 16	 [x=0,
		y=5];
	5 -> 17	 [x=0,
		y=5];
	5 -> 18	 [x=0,
		y=5];
	5 -> 19	 [x=0,
		y=5];
	5 -> 20	 [x=0,
		y=5];
	21	 [kernel=potrf];
	6 -> 21	 [x=1,
		y=1];
	26	 [kernel=syrk];
	7 -> 26	 [x=2,
		y=2];
	22	 [kernel=trsm];
	8 -> 22	 [x=1,
		y=2];
	27	 [kernel=syrk];
	9 -> 27	 [x=3,
		y=3];
	23	 [kernel=trsm];
	10 -> 23	 [x=1,
		y=3];
	28	 [kernel=gemm];
	11 -> 28	 [x=2,
		y=3];
	29	 [kernel=syrk];
	12 -> 29	 [x=4,
		y=4];
