digraph dag {
	0	 [kernel=lu];
	1	 [kernel=fwd];
	0 -> 1	 [x=0,
		y=0];
	2	 [kernel=fwd];
	0 -> 2	 [x=0,
		y=0];
	3	 [kernel=fwd];
	0 -> 3	 [x=0,
		y=0];
	4	 [kernel=fwd];
	0 -> 4	 [x=0,
		y=0];
	5	 [kernel=fwd];
	0 -> 5	 [x=0,
		y=0];
	6	 [kernel=fwd];
	0 -> 6	 [x=0,
		y=0];
	7	 [kernel=fwd];
	0 -> 7	 [x=0,
		y=0];
	8	 [kernel=fwd];
	0 -> 8	 [x=0,
		y=0];
	9	 [kernel=fwd];
	0 -> 9	 [x=0,
		y=0];
	10	 [kernel=fwd];
	0 -> 10	 [x=0,
		y=0];
	11	 [kernel=fwd];
	0 -> 11	 [x=0,
		y=0];
	12	 [kernel=fwd];
	0 -> 12	 [x=0,
		y=0];
	13	 [kernel=fwd];
	0 -> 13	 [x=0,
		y=0];
	14	 [kernel=bdiv];
	0 -> 14	 [x=0,
		y=0];
	15	 [kernel=bdiv];
	0 -> 15	 [x=0,
		y=0];
	16	 [kernel=bdiv];
	0 -> 16	 [x=0,
		y=0];
	17	 [kernel=bdiv];
	0 -> 17	 [x=0,
		y=0];
	18	 [kernel=bdiv];
	0 -> 18	 [x=0,
		y=0];
	19	 [kernel=bdiv];
	0 -> 19	 [x=0,
		y=0];
	20	 [kernel=bdiv];
	0 -> 20	 [x=0,
		y=0];
	21	 [kernel=bdiv];
	0 -> 21	 [x=0,
		y=0];
	22	 [kernel=bdiv];
	0 -> 22	 [x=0,
		y=0];
	23	 [kernel=bdiv];
	0 -> 23	 [x=0,
		y=0];
	24	 [kernel=bdiv];
	0 -> 24	 [x=0,
		y=0];
	25	 [kernel=bdiv];
	0 -> 25	 [x=0,
		y=0];
	26	 [kernel=bdiv];
	0 -> 26	 [x=0,
		y=0];
	27	 [kernel=bmod];
	1 -> 27	 [x=0,
		y=1];
	40	 [kernel=bmod];
	1 -> 40	 [x=0,
		y=1];
	53	 [kernel=bmod];
	1 -> 53	 [x=0,
		y=1];
	66	 [kernel=bmod];
	1 -> 66	 [x=0,
		y=1];
	79	 [kernel=bmod];
	1 -> 79	 [x=0,
		y=1];
	92	 [kernel=bmod];
	1 -> 92	 [x=0,
		y=1];
	105	 [kernel=bmod];
	1 -> 105	 [x=0,
		y=1];
	118	 [kernel=bmod];
	1 -> 118	 [x=0,
		y=1];
	131	 [kernel=bmod];
	1 -> 131	 [x=0,
		y=1];
	144	 [kernel=bmod];
	1 -> 144	 [x=0,
		y=1];
	157	 [kernel=bmod];
	1 -> 157	 [x=0,
		y=1];
	170	 [kernel=bmod];
	1 -> 170	 [x=0,
		y=1];
	183	 [kernel=bmod];
	1 -> 183	 [x=0,
		y=1];
	28	 [kernel=bmod];
	2 -> 28	 [x=0,
		y=2];
	41	 [kernel=bmod];
	2 -> 41	 [x=0,
		y=2];
	54	 [kernel=bmod];
	2 -> 54	 [x=0,
		y=2];
	67	 [kernel=bmod];
	2 -> 67	 [x=0,
		y=2];
	80	 [kernel=bmod];
	2 -> 80	 [x=0,
		y=2];
	93	 [kernel=bmod];
	2 -> 93	 [x=0,
		y=2];
	106	 [kernel=bmod];
	2 -> 106	 [x=0,
		y=2];
	119	 [kernel=bmod];
	2 -> 119	 [x=0,
		y=2];
	132	 [kernel=bmod];
	2 -> 132	 [x=0,
		y=2];
	145	 [kernel=bmod];
	2 -> 145	 [x=0,
		y=2];
	158	 [kernel=bmod];
	2 -> 158	 [x=0,
		y=2];
	171	 [kernel=bmod];
	2 -> 171	 [x=0,
		y=2];
	184	 [kernel=bmod];
	2 -> 184	 [x=0,
		y=2];
	29	 [kernel=bmod];
	3 -> 29	 [x=0,
		y=3];
	42	 [kernel=bmod];
	3 -> 42	 [x=0,
		y=3];
	55	 [kernel=bmod];
	3 -> 55	 [x=0,
		y=3];
	68	 [kernel=bmod];
	3 -> 68	 [x=0,
		y=3];
	81	 [kernel=bmod];
	3 -> 81	 [x=0,
		y=3];
	94	 [kernel=bmod];
	3 -> 94	 [x=0,
		y=3];
	107	 [kernel=bmod];
	3 -> 107	 [x=0,
		y=3];
	120	 [kernel=bmod];
	3 -> 120	 [x=0,
		y=3];
	133	 [kernel=bmod];
	3 -> 133	 [x=0,
		y=3];
	146	 [kernel=bmod];
	3 -> 146	 [x=0,
		y=3];
	159	 [kernel=bmod];
	3 -> 159	 [x=0,
		y=3];
	172	 [kernel=bmod];
	3 -> 172	 [x=0,
		y=3];
	185	 [kernel=bmod];
	3 -> 185	 [x=0,
		y=3];
	30	 [kernel=bmod];
	4 -> 30	 [x=0,
		y=4];
	43	 [kernel=bmod];
	4 -> 43	 [x=0,
		y=4];
	56	 [kernel=bmod];
	4 -> 56	 [x=0,
		y=4];
	69	 [kernel=bmod];
	4 -> 69	 [x=0,
		y=4];
	82	 [kernel=bmod];
	4 -> 82	 [x=0,
		y=4];
	95	 [kernel=bmod];
	4 -> 95	 [x=0,
		y=4];
	108	 [kernel=bmod];
	4 -> 108	 [x=0,
		y=4];
	121	 [kernel=bmod];
	4 -> 121	 [x=0,
		y=4];
	134	 [kernel=bmod];
	4 -> 134	 [x=0,
		y=4];
	147	 [kernel=bmod];
	4 -> 147	 [x=0,
		y=4];
	160	 [kernel=bmod];
	4 -> 160	 [x=0,
		y=4];
	173	 [kernel=bmod];
	4 -> 173	 [x=0,
		y=4];
	186	 [kernel=bmod];
	4 -> 186	 [x=0,
		y=4];
	31	 [kernel=bmod];
	5 -> 31	 [x=0,
		y=5];
	44	 [kernel=bmod];
	5 -> 44	 [x=0,
		y=5];
	57	 [kernel=bmod];
	5 -> 57	 [x=0,
		y=5];
	70	 [kernel=bmod];
	5 -> 70	 [x=0,
		y=5];
	83	 [kernel=bmod];
	5 -> 83	 [x=0,
		y=5];
	96	 [kernel=bmod];
	5 -> 96	 [x=0,
		y=5];
	109	 [kernel=bmod];
	5 -> 109	 [x=0,
		y=5];
	122	 [kernel=bmod];
	5 -> 122	 [x=0,
		y=5];
	135	 [kernel=bmod];
	5 -> 135	 [x=0,
		y=5];
	148	 [kernel=bmod];
	5 -> 148	 [x=0,
		y=5];
	161	 [kernel=bmod];
	5 -> 161	 [x=0,
		y=5];
	174	 [kernel=bmod];
	5 -> 174	 [x=0,
		y=5];
	187	 [kernel=bmod];
	5 -> 187	 [x=0,
		y=5];
	32	 [kernel=bmod];
	6 -> 32	 [x=0,
		y=6];
	45	 [kernel=bmod];
	6 -> 45	 [x=0,
		y=6];
	58	 [kernel=bmod];
	6 -> 58	 [x=0,
		y=6];
	71	 [kernel=bmod];
	6 -> 71	 [x=0,
		y=6];
	84	 [kernel=bmod];
	6 -> 84	 [x=0,
		y=6];
	97	 [kernel=bmod];
	6 -> 97	 [x=0,
		y=6];
	110	 [kernel=bmod];
	6 -> 110	 [x=0,
		y=6];
	123	 [kernel=bmod];
