digraph dag {
	0	 [kernel=potrf];
	1	 [kernel=trsm];
	0 -> 1	 [x=0,
		y=0];
	2	 [kernel=trsm];
	0 -> 2	 [x=0,
		y=0];
	3	 [kernel=trsm];
	0 -> 3	 [x=0,
		y=0];
	4	 [kernel=trsm];
	0 -> 4	 [x=0,
		y=0];
	5	 [kernel=trsm];
	0 -> 5	 [x=0,
		y=0];
	6	 [kernel=trsm];
	0 -> 6	 [x=0,
		y=0];
	7	 [kernel=trsm];
	0 -> 7	 [x=0,
		y=0];
	8	 [kernel=trsm];
	0 -> 8	 [x=0,
		y=0];
	9	 [kernel=trsm];
	0 -> 9	 [x=0,
		y=0];
	10	 [kernel=trsm];
	0 -> 10	 [x=0,
		y=0];
	11	 [kernel=trsm];
	0 -> 11	 [x=0,
		y=0];
	12	 [kernel=syrk];
	1 -> 12	 [x=0,
		y=1];
	14	 [kernel=gemm];
	1 -> 14	 [x=0,
		y=1];
	16	 [kernel=gemm];
	1 -> 16	 [x=0,
		y=1];
	19	 [kernel=gemm];
	1 -> 19	 [x=0,
		y=1];
	23	 [kernel=gemm];
	1 -> 23	 [x=0,
		y=1];
	28	 [kernel=gemm];
	1 -> 28	 [x=0,
		y=1];
	34	 [kernel=gemm];
	1 -> 34	 [x=0,
		y=1];
	41	 [kernel=gemm];
	1 -> 41	 [x=0,
		y=1];
	49	 [kernel=gemm];
	1 -> 49	 [x=0,
		y=1];
	58	 [kernel=gemm];
	1 -> 58	 [x=0,
		y=1];
	68	 [kernel=gemm];
	1 -> 68	 [x=0,
		y=1];
	13	 [kernel=syrk];
	2 -> 13	 [x=0,
		y=2];
	2 -> 14	 [x=0,
		y=2];
	17	 [kernel=gemm];
	2 -> 17	 [x=0,
		y=2];
	20	 [kernel=gemm];
	2 -> 20	 [x=0,
		y=2];
	24	 [kernel=gemm];
	2 -> 24	 [x=0,
		y=2];
	29	 [kernel=gemm];
	2 -> 29	 [x=0,
		y=2];
	35	 [kernel=gemm];
	2 -> 35	 [x=0,
		y=2];
	42	 [kernel=gemm];
	2 -> 42	 [x=0,
		y=2];
	50	 [kernel=gemm];
	2 -> 50	 [x=0,
		y=2];
	59	 [kernel=gemm];
	2 -> 59	 [x=0,
		y=2];
	69	 [kernel=gemm];
	2 -> 69	 [x=0,
		y=2];
	15	 [kernel=syrk];
