digraph dag {
	0	 [kernel=lu];
	1	 [kernel=fwd];
	0 -> 1	 [x=0,
		y=0];
	2	 [kernel=fwd];
	0 -> 2	 [x=0,
		y=0];
	3	 [kernel=fwd];
	0 -> 3	 [x=0,
		y=0];
	4	 [kernel=fwd];
	0 -> 4	 [x=0,
		y=0];
	5	 [kernel=fwd];
	0 -> 5	 [x=0,
		y=0];
	6	 [kernel=fwd];
	0 -> 6	 [x=0,
		y=0];
	7	 [kernel=fwd];
	0 -> 7	 [x=0,
		y=0];
	8	 [kernel=fwd];
	0 -> 8	 [x=0,
		y=0];
	9	 [kernel=fwd];
	0 -> 9	 [x=0,
		y=0];
	10	 [kernel=fwd];
	0 -> 10	 [x=0,
		y=0];
	11	 [kernel=fwd];
	0 -> 11	 [x=0,
		y=0];
	12	 [kernel=bdiv];
	0 -> 12	 [x=0,
		y=0];
	13	 [kernel=bdiv];
	0 -> 13	 [x=0,
		y=0];
	14	 [kernel=bdiv];
	0 -> 14	 [x=0,
		y=0];
	15	 [kernel=bdiv];
	0 -> 15	 [x=0,
		y=0];
	16	 [kernel=bdiv];
	0 -> 16	 [x=0,
		y=0];
	17	 [kernel=bdiv];
	0 -> 17	 [x=0,
		y=0];
	18	 [kernel=bdiv];
	0 -> 18	 [x=0,
		y=0];
	19	 [kernel=bdiv];
	0 -> 19	 [x=0,
		y=0];
	20	 [kernel=bdiv];
	0 -> 20	 [x=0,
		y=0];
	21	 [kernel=bdiv];
	0 -> 21	 [x=0,
		y=0];
	22	 [kernel=bdiv];
	0 -> 22	 [x=0,
		y=0];
	23	 [kernel=bmod];
	1 -> 23	 [x=0,
		y=1];
	34	 [kernel=bmod];
	1 -> 34	 [x=0,
		y=1];
	45	 [kernel=bmod];
	1 -> 45	 [x=0,
		y=1];
	56	 [kernel=bmod];
	1 -> 56	 [x=0,
		y=1];
	67	 [kernel=bmod];
	1 -> 67	 [x=0,
		y=1];
	78	 [kernel=bmod];
	1 -> 78	 [x=0,
		y=1];
	89	 [kernel=bmod];
	1 -> 89	 [x=0,
		y=1];
	100	 [kernel=bmod];
	1 -> 100	 [x=0,
		y=1];
	111	 [kernel=bmod];
	1 -> 111	 [x=0,
		y=1];
	122	 [kernel=bmod];
	1 -> 122	 [x=0,
		y=1];
	133	 [kernel=bmod];
	1 -> 133	 [x=0,
		y=1];
	24	 [kernel=bmod];
	2 -> 24	 [x=0,
		y=2];
	35	 [kernel=bmod];
	2 -> 35	 [x=0,
		y=2];
	46	 [kernel=bmod];
	2 -> 46	 [x=0,
		y=2];
	57	 [kernel=bmod];
	2 -> 57	 [x=0,
		y=2];
	68	 [kernel=bmod];
	2 -> 68	 [x=0,
		y=2];
	79	 [kernel=bmod];
	2 -> 79	 [x=0,
		y=2];
	90	 [kernel=bmod];
	2 -> 90	 [x=0,
		y=2];
	101	 [kernel=bmod];
	2 -> 101	 [x=0,
		y=2];
	112	 [kernel=bmod];
	2 -> 112	 [x=0,
		y=2];
	123	 [kernel=bmod];
	2 -> 123	 [x=0,
		y=2];
	134	 [kernel=bmod];
	2 -> 134	 [x=0,
		y=2];
	25	 [kernel=bmod];
	3 -> 25	 [x=0,
		y=3];
	36	 [kernel=bmod];
	3 -> 36	 [x=0,
		y=3];
	47	 [kernel=bmod];
	3 -> 47	 [x=0,
		y=3];
	58	 [kernel=bmod];
	3 -> 58	 [x=0,
		y=3];
	69	 [kernel=bmod];
	3 -> 69	 [x=0,
		y=3];
	80	 [kernel=bmod];
	3 -> 80	 [x=0,
		y=3];
	91	 [kernel=bmod];
	3 -> 91	 [x=0,
		y=3];
	102	 [kernel=bmod];
	3 -> 102	 [x=0,
		y=3];
	113	 [kernel=bmod];
	3 -> 113	 [x=0,
		y=3];
	124	 [kernel=bmod];
	3 -> 124	 [x=0,
		y=3];
	135	 [kernel=bmod];
	3 -> 135	 [x=0,
		y=3];
	26	 [kernel=bmod];
	4 -> 26	 [x=0,
		y=4];
	37	 [kernel=bmod];
	4 -> 37	 [x=0,
		y=4];
	48	 [kernel=bmod];
	4 -> 48	 [x=0,
		y=4];
	59	 [kernel=bmod];
	4 -> 59	 [x=0,
		y=4];
	70	 [kernel=bmod];
	4 -> 70	 [x=0,
		y=4];
	81	 [kernel=bmod];
	4 -> 81	 [x=0,
		y=4];
	92	 [kernel=bmod];
	4 -> 92	 [x=0,
		y=4];
	103	 [kernel=bmod];
	4 -> 103	 [x=0,
		y=4];
	114	 [kernel=bmod];
	4 -> 114	 [x=0,
		y=4];
	125	 [kernel=bmod];
	4 -> 125	 [x=0,
		y=4];
	136	 [kernel=bmod];
	4 -> 136	 [x=0,
		y=4];
	27	 [kernel=bmod];
	5 -> 27	 [x=0,
		y=5];
	38	 [kernel=bmod];
	5 -> 38	 [x=0,
		y=5];
	49	 [kernel=bmod];
	5 -> 49	 [x=0,
		y=5];
	60	 [kernel=bmod];
	5 -> 60	 [x=0,
		y=5];
	71	 [kernel=bmod];
	5 -> 71	 [x=0,
		y=5];
	82	 [kernel=bmod];
	5 -> 82	 [x=0,
		y=5];
	93	 [kernel=bmod];
	5 -> 93	 [x=0,
		y=5];
	104	 [kernel=bmod];
	5 -> 104	 [x=0,
		y=5];
	115	 [kernel=bmod];
	5 -> 115	 [x=0,
		y=5];
	126	 [kernel=bmod];
	5 -> 126	 [x=0,
		y=5];
	137	 [kernel=bmod];
	5 -> 137	 [x=0,
		y=5];
	28	 [kernel=bmod];
	6 -> 28	 [x=0,
		y=6];
	39	 [kernel=bmod];
	6 -> 39	 [x=0,
		y=6];
	50	 [kernel=bmod];
	6 -> 50	 [x=0,
		y=6];
	61	 [kernel=bmod];
	6 -> 61	 [x=0,
		y=6];
	72	 [kernel=bmod];
	6 -> 72	 [x=0,
		y=6];
	83	 [kernel=bmod];
	6 -> 83	 [x=0,
		y=6];
	94	 [kernel=bmod];
	6 -> 94	 [x=0,
		y=6];
	105	 [kernel=bmod];
	6 -> 105	 [x=0,
		y=6];
	116	 [kernel=bmod];
	6 -> 116	 [x=0,
		y=6];
	127	 [kernel=bmod];
	6 -> 127	 [x=0,
		y=6];
	138	 [kernel=bmod];
	6 -> 138	 [x=0,
		y=6];
	29	 [kernel=bmod];
	7 -> 29	 [x=0,
		y=7];
	40	 [kernel=bmod];
	7 -> 40	 [x=0,
		y=7];
	51	 [kernel=bmod];
	7 -> 51	 [x=0,
		y=7];
	62	 [kernel=bmod];
	7 -> 62	 [x=0,
		y=7];
	73	 [kernel=bmod];
	7 -> 73	 [x=0,
		y=7];
	84	 [kernel=bmod];
	7 -> 84	 [x=0,
		y=7];
	95	 [kernel=bmod];
	7 -> 95	 [x=0,
		y=7];
	106	 [kernel=bmod];
	7 -> 106	 [x=0,
		y=7];
	117	 [kernel=bmod];
	7 -> 117	 [x=0,
		y=7];
	128	 [kernel=bmod];
	7 -> 128	 [x=0,
		y=7];
	139	 [kernel=bmod];
