digraph dag {
	0	 [kernel=potrf];
	1	 [kernel=trsm];
	0 -> 1	 [x=0,
		y=0];
	2	 [kernel=trsm];
	0 -> 2	 [x=0,
		y=0];
	3	 [kernel=trsm];
	0 -> 3	 [x=0,
		y=0];
	4	 [kernel=trsm];
	0 -> 4	 [x=0,
		y=0];
	5	 [kernel=trsm];
	0 -> 5	 [x=0,
		y=0];
	6	 [kernel=trsm];
	0 -> 6	 [x=0,
		y=0];
	7	 [kernel=trsm];
	0 -> 7	 [x=0,
		y=0];
	8	 [kernel=trsm];
	0 -> 8	 [x=0,
		y=0];
	9	 [kernel=trsm];
	0 -> 9	 [x=0,
		y=0];
	10	 [kernel=syrk];
	1 -> 10	 [x=0,
		y=1];
	12	 [kernel=gemm];
	1 -> 12	 [x=0,
		y=1];
	14	 [kernel=gemm];
	1 -> 14	 [x=0,
		y=1];
	17	 [kernel=gemm];
	1 -> 17	 [x=0,
		y=1];
	21	 [kernel=gemm];
	1 -> 21	 [x=0,
		y=1];
	26	 [kernel=gemm];
	1 -> 26	 [x=0,
		y=1];
	32	 [kernel=gemm];
	1 -> 32	 [x=0,
		y=1];
	39	 [kernel=gemm];
	1 -> 39	 [x=0,
		y=1];
	47	 [kernel=gemm];
	1 -> 47	 [x=0,
		y=1];
	11	 [kernel=syrk];
	2 -> 11	 [x=0,
		y=2];
	2 -> 12	 [x=0,
		y=2];
	15	 [kernel=gemm];
	2 -> 15	 [x=0,
		y=2];
	18	 [kernel=gemm];
	2 -> 18	 [x=0,
		y=2];
	22	 [kernel=gemm];
	2 -> 22	 [x=0,
		y=2];
	27	 [kernel=gemm];
	2 -> 27	 [x=0,
		y=2];
	33	 [kernel=gemm];
	2 -> 33	 [x=0,
		y=2];
	40	 [kernel=gemm];
	2 -> 40	 [x=0,
		y=2];
	48	 [kernel=gemm];
	2 -> 48	 [x=0,
		y=2];
	13	 [kernel=syrk];
	3 -> 13	 [x=0,
		y=3];
	3 -> 14	 [x=0,
		y=3];
	3 -> 15	 [x=0,
		y=3];
	19	 [kernel=gemm];
	3 -> 19	 [x=0,
		y=3];
	23	 [kernel=gemm];
	3 -> 23	 [x=0,
		y=3];
	28	 [kernel=gemm];
	3 -> 28	 [x=0,
		y=3];
	34	 [kernel=gemm];
	3 -> 34	 [x=0,
		y=3];
	41	 [kernel=gemm];
