digraph dag {
	0	 [kernel=potrf];
	1	 [kernel=trsm];
	0 -> 1	 [x=0,
		y=0];
	2	 [kernel=trsm];
	0 -> 2	 [x=0,
		y=0];
	3	 [kernel=trsm];
	0 -> 3	 [x=0,
		y=0];
	4	 [kernel=trsm];
	0 -> 4	 [x=0,
		y=0];
	5	 [kernel=trsm];
	0 -> 5	 [x=0,
		y=0];
	6	 [kernel=trsm];
	0 -> 6	 [x=0,
		y=0];
	7	 [kernel=trsm];
	0 -> 7	 [x=0,
		y=0];
	8	 [kernel=syrk];
	1 -> 8	 [x=0,
		y=1];
	10	 [kernel=gemm];
	1 -> 10	 [x=0,
		y=1];
	12	 [kernel=gemm];
	1 -> 12	 [x=0,
		y=1];
	15	 [kernel=gemm];
	1 -> 15	 [x=0,
		y=1];
	19	 [kernel=gemm];
	1 -> 19	 [x=0,
		y=1];
	24	 [kernel=gemm];
	1 -> 24	 [x=0,
		y=1];
	30	 [kernel=gemm];
	1 -> 30	 [x=0,
		y=1];
	9	 [kernel=syrk];
	2 -> 9	 [x=0,
		y=2];
	2 -> 10	 [x=0,
		y=2];
	13	 [kernel=gemm];
	2 -> 13	 [x=0,
		y=2];
	16	 [kernel=gemm];
	2 -> 16	 [x=0,
		y=2];
	20	 [kernel=gemm];
	2 -> 20	 [x=0,
		y=2];
	25	 [kernel=gemm];
	2 -> 25	 [x=0,
		y=2];
	31	 [kernel=gemm];
	2 -> 31	 [x=0,
		y=2];
	11	 [kernel=syrk];
	3 -> 11	 [x=0,
		y=3];
	3 -> 12	 [x=0,
		y=3];
	3 -> 13	 [x=0,
		y=3];
	17	 [kernel=gemm];
	3 -> 17	 [x=0,
		y=3];
	21	 [kernel=gemm];
	3 -> 21	 [x=0,
		y=3];
	26	 [kernel=gemm];
	3 -> 26	 [x=0,
		y=3];
	32	 [kernel=gemm];
	3 -> 32	 [x=0,
		y=3];
	14	 [kernel=syrk];
	4 -> 14	 [x=0,
		y=4];
	4 -> 15	 [x=0,
		y=4];
	4 -> 16	 [x=0,
		y=4];
	4 -> 17	 [x=0,
		y=4];
	22	 [kernel=gemm];
	4 -> 22	 [x=0,
		y=4];
	27	 [kernel=gemm];
	4 -> 27	 [x=0,
		y=4];
	33	 [kernel=gemm];
	4 -> 33	 [x=0,
		y=4];
	18	 [kernel=syrk];
